
date|open|high|low|close|volume|Name
2015-09-29|1.67|1.69|1.65|1.67|7005323|AMD
2015-09-28|1.69|1.7|1.66|1.66|5693063|AMD
2015-07-27|1.67|1.7|1.61|1.62|11916468|AMD
2015-09-30|1.7|1.72|1.68|1.72|5739499|AMD
date|open|high|low|close|volume|Name
2015-09-29|1.67|1.69|1.65|1.67|7005323|AMD
2015-09-28|1.69|1.7|1.66|1.66|5693063|AMD
2015-07-27|1.67|1.7|1.61|1.62|11916468|AMD
2015-09-30|1.7|1.72|1.68|1.72|5739499|AMD
date|open|high|low|close|volume|Name
2015-09-29|1.67|1.69|1.65|1.67|7005323|AMD
2015-09-28|1.69|1.7|1.66|1.66|5693063|AMD
2015-07-27|1.67|1.7|1.61|1.62|11916468|AMD
2015-09-30|1.7|1.72|1.68|1.72|5739499|AMD
date|open|high|low|close|volume|Name
2015-09-29|1.67|1.69|1.65|1.67|7005323|AMD
2015-09-28|1.69|1.7|1.66|1.66|5693063|AMD
2015-07-27|1.67|1.7|1.61|1.62|11916468|AMD
2015-09-30|1.7|1.72|1.68|1.72|5739499|AMD
date|open|high|low|close|volume|Name
2015-09-29|1.67|1.69|1.65|1.67|7005323|AMD
2015-09-28|1.69|1.7|1.66|1.66|5693063|AMD
2015-07-27|1.67|1.7|1.61|1.62|11916468|AMD
2015-09-30|1.7|1.72|1.68|1.72|5739499|AMD
date|open|high|low|close|volume|Name
2015-09-29|1.67|1.69|1.65|1.67|7005323|AMD
2015-09-28|1.69|1.7|1.66|1.66|5693063|AMD
2015-07-27|1.67|1.7|1.61|1.62|11916468|AMD
2015-09-30|1.7|1.72|1.68|1.72|5739499|AMD
